skills,cgpa,career
"pandas, hypothesis testing, tableau, data cleaning, python, sql, reporting, data visualization, excel, machine learning, power bi",9.19,Data Analyst
"networking, docker, aws, ci/cd, devops, security, azure, penetration testing",6.38,Cloud Engineer
"networking, devops, linux, ci/cd, firewalls, kubernetes, aws, ethical hacking, docker, terraform, monitoring, azure",7.43,Cloud Engineer
"html, react, accessibility, typescript, responsive design, ui design, web performance, javascript, redux, css",7.75,Frontend Developer
"api development, databases, authentication, java, flask, python",6.66,Backend Developer
"deep learning, pytorch, machine learning, python, data preprocessing, flask, system design, mathematics, computer vision, neural networks",7.1,AI Engineer
"node.js, system design, django, flask, databases, sql, authentication, api development, java",6.49,Backend Developer
"machine learning, pandas, nlp, sql, numpy, feature engineering, hypothesis testing, python, data visualization",7.97,Data Scientist
"html, typescript, web performance, ui design, responsive design, redux, react",9.5,Frontend Developer
"kubernetes, docker, devops, networking, aws, linux",7.03,Cloud Engineer
"ethical hacking, networking, risk assessment, penetration testing, siem, cryptography",7.07,Cyber Security Analyst
"flask, django, databases, python, system design, java",8.48,Backend Developer
"react, problem solving, testing, algorithms, debugging, python, java, data structures, oop, git, software design",6.07,Software Developer
"debugging, git, software design, data structures, problem solving, python, algorithms, testing, java, oop",9.59,Software Developer
"sql, pandas, machine learning, statistics, feature engineering, scikit-learn, python, data visualization, hypothesis testing, numpy",7.61,Data Scientist
"typescript, node.js, ui design, javascript, web performance, accessibility, responsive design, api development, redux, css",9.26,Frontend Developer
"node.js, django, authentication, java, system design, sql, api development",7.2,Backend Developer
"sql, power bi, pandas, python, tableau, reporting, statistics",6.74,Data Analyst
"siem, firewalls, incident response, networking, security, devops, penetration testing, cryptography, risk assessment, linux",8.46,Cyber Security Analyst
"django, databases, python, sql, system design, java, node.js, authentication, flask",8.67,Backend Developer
"testing, oop, data structures, debugging, git, problem solving, java, python, algorithms, software design",8.98,Software Developer
"ci/cd, kubernetes, terraform, networking, docker, linux, devops, aws, azure, monitoring",8.01,Cloud Engineer
"kubernetes, monitoring, linux, docker, networking, terraform, azure, aws, devops, ci/cd",8.05,Cloud Engineer
"aws, azure, terraform, kubernetes, linux, git, docker, devops, networking, ci/cd, java",8.34,Cloud Engineer
"cryptography, linux, security, siem, firewalls, penetration testing, risk assessment",9.48,Cyber Security Analyst
"python, linux, kubernetes, terraform, monitoring, data cleaning, networking, aws, azure, devops",6.89,Cloud Engineer
"linux, azure, docker, ci/cd, monitoring, kubernetes, aws, networking, terraform",9.77,Cloud Engineer
"firewalls, risk assessment, cryptography, ethical hacking, siem, security",7.22,Cyber Security Analyst
"git, java, data structures, oop, software design, algorithms",6.39,Software Developer
"python, pandas, hypothesis testing, feature engineering, sql, scikit-learn",6.82,Data Scientist
"python, tableau, pandas, reporting, data cleaning, power bi, sql, statistics, excel, data visualization",7.59,Data Analyst
"scikit-learn, python, pandas, machine learning, data visualization, sql, statistics, feature engineering, hypothesis testing",6.61,Data Scientist
"networking, siem, risk assessment, cryptography, ethical hacking, penetration testing, firewalls, security, incident response",7.58,Cyber Security Analyst
"ui design, html, typescript, responsive design, accessibility, css, web performance",9.23,Frontend Developer
"reporting, python, power bi, pandas, sql, data visualization, tableau",8.2,Data Analyst
"flask, cryptography, django, linux, python, system design, sql, databases, authentication, java, node.js, api development",8.27,Backend Developer
"python, testing, data structures, software design, problem solving, oop, git, algorithms",6.89,Software Developer
"reporting, statistics, data visualization, power bi, data cleaning, pandas, excel",6.23,Data Analyst
"excel, statistics, pandas, power bi, python, data cleaning",8.5,Data Analyst
"flask, databases, django, authentication, api development, java, python, system design, sql",8.45,Backend Developer
"javascript, typescript, testing, redux, web performance, responsive design, accessibility",7.15,Frontend Developer
"numpy, pandas, data visualization, statistics, hypothesis testing, feature engineering, flask, authentication, machine learning, python, scikit-learn",9.47,Data Scientist
"css, reporting, data cleaning, excel, javascript, data visualization, tableau, python",9.81,Data Analyst
"django, flask, authentication, api development, sql, node.js, system design",6.82,Backend Developer
